twitterID,text,retweet_count,favorite_count,created_at,location,source
Daily Bevin,Kentucky Gov. Matt Bevin wins appeal on value of his new home https://t.co/GG4Uy55Lpk,0,0,2017-08-05 16:41:56,"Frankfort, KY",Zapier.com
⚓️,"RT @BTS_Billboard: BUY OR GIFT Come Back Home by @BTS_twt: 
iTunes: https://t.co/pX3Tmcd8TP

Google Play: https://t.co/59rc6KjTq2",6,0,2017-08-05 16:41:55,,Twitter for iPhone
SPIRIDON MONICA CRIS,Use Spotify like a pro on Google Home https://t.co/mJV9VDJYOt,0,0,2017-08-05 16:41:39,"Iaşi, România",Facebook
eva ║HIXTAPE║,"RT @BTS_Billboard: BUY OR GIFT Come Back Home by @BTS_twt: 
iTunes: https://t.co/pX3Tmcd8TP

Google Play: https://t.co/59rc6KjTq2",6,0,2017-08-05 16:41:12,love all 7of them or GTFO :),Twitter for Android
Scarlet,"RT @BTS_Billboard: BUY OR GIFT Come Back Home by @BTS_twt: 
iTunes: https://t.co/pX3Tmcd8TP

Google Play: https://t.co/59rc6KjTq2",6,0,2017-08-05 16:40:48,"Jakarta Timur, DKI Jakarta",Twitter for Android
Bharath,Google Home users will (soon?) be able to try new features early if they know where to look https://t.co/0Ot6sF0d0b https://t.co/ybNDPItMUQ,0,0,2017-08-05 16:40:15,United States,WordPress.com
Nikhil Makwana,#Android #Update Google’s Preview Program now gives Google Home owners first dibs on upcoming updates… https://t.co/mOl7eonaKM,0,0,2017-08-05 16:40:11,Ahmedabad,dlvr.it
Maria T. Smith,more @ https://t.co/Yq0OSyGIwf Google’s Preview Program now gives Google Home owners first dibs on upcoming updates… https://t.co/TlSzAsRYq9,0,0,2017-08-05 16:40:10,United States,dlvr.it
Placester,".@Placester's Monthly #Marketing Review for August 2017, featuring data from @CMIContent, @audiencebloom, and more.… https://t.co/gqULst2qzE",0,0,2017-08-05 16:40:05,"Boston, MA",Buffer
Growing Digital,Home Team Marketing https://t.co/7FPgSI82AA,0,0,2017-08-05 16:40:04,London,dlvr.it
heidi intia  シ,"RT @BTS_Billboard: BUY OR GIFT Come Back Home by @BTS_twt: 
iTunes: https://t.co/pX3Tmcd8TP

Google Play: https://t.co/59rc6KjTq2",6,0,2017-08-05 16:40:03,san miguel alaminos laguna シ,Twitter for Android
V LIVE Updates,"RT @BTS_Billboard: BUY OR GIFT Come Back Home by @BTS_twt: 
iTunes: https://t.co/pX3Tmcd8TP

Google Play: https://t.co/59rc6KjTq2",6,0,2017-08-05 16:39:57,,Twitter for iPhone
BTS on Billboard!,"BUY OR GIFT Come Back Home by @BTS_twt: 
iTunes: https://t.co/pX3Tmcd8TP

Google Play: https://t.co/59rc6KjTq2",6,9,2017-08-05 16:39:49,"Georgia, USA",Twitter for iPhone
Bharath,Google Home users will (soon?) be able to try new features early if they know where to look https://t.co/FGLYBO0Xr0 https://t.co/dRIt1akmWK,0,0,2017-08-05 16:38:37,United States,WordPress.com
Sandy,"RT @SSDRewatch: #POstables - 
The #1PerNightCountdown to #HomeAgain starts Sept 5th! 
Find everything you need to know to join in @ https:/…",4,0,2017-08-05 16:37:59,"Northern Virginia, USA",Twitter for iPhone
Uzzi Ohana,Top Hardware and iOS Apps for the Modern Home https://t.co/Ieva8vloMc,0,0,2017-08-05 16:37:32,Global citizen based in Mexico,IFTTT
David Kang,Google Home users will (soon?) be able to try new features early if they know wh... https://t.co/U7lA2lpjyA | 🚀 by… https://t.co/btztxrw2I2,0,0,2017-08-05 16:36:36,New York,Twibble.io
Property Invest,RT @Alison_Daff: Why have only one luxury second home? Welcome to The Hideaways Club. Details &gt; https://t.co/PVTkaqaU8C #sks8 https://t.co/…,0,0,2017-08-05 16:36:35,"London, England",Twitter for iPad
Tommy Camerno,After a whole day in the studio without wifi I have to come home and Google 'celebrities with acne' as soon as I enter my apartment #celebs,0,0,2017-08-05 16:36:13,,Twitter for iPhone
Bharath,Google Home users will (soon?) be able to try new features early if they know where to look https://t.co/2oYBo67lO4 https://t.co/ZxaFMitipT,0,0,2017-08-05 16:35:11,United States,WordPress.com
Puja Das,"Tensed About Your Hair Fall ? Follow These To Stop At Home
https://t.co/kPdGfbN4LI",0,1,2017-08-05 16:35:06,"New Delhi, India",Twitter for Android
Techmafia Latam,Google’s Preview Program now gives Google Home owners first dibs on upcoming updates https://t.co/A00Y4ZImvD https://t.co/xhK1rSg67e,0,0,2017-08-05 16:34:53,,WordPress.com
360SV,Google’s Preview Program now gives Google Home owners first dibs on upcoming updates https://t.co/5HXx8NhfXu https://t.co/JeRvuot0zj,0,0,2017-08-05 16:34:50,,WordPress.com
360 Crew,Google’s Preview Program now gives Google Home owners first dibs on upcoming updates https://t.co/F8VRY7Qb1I https://t.co/muuUw2OWiD,0,0,2017-08-05 16:34:48,El Salvador,WordPress.com
WebsiteofEverything,Google’s Preview Program now gives Google Home owners first dibs on upcoming updates https://t.co/eUkVFRwR6K https://t.co/GvRoSJELeI,0,0,2017-08-05 16:34:24,"Mote, humdrum star, galaxy",WordPress.com
Lizza M #BB19,Google adds Home speakers to its software preview program https://t.co/IRIgIZljPZ,0,0,2017-08-05 16:34:13,Around The Globe,dlvr.it
My Own Admn,"RT @myownadm: Work from home jobs that are not scams
#makemoneyonline #money  #workfromhome  #entrepreneur  #online  #google  ... https://t…",1,0,2017-08-05 16:33:41,,Twitter for Android
Bharath,Google Home users will (soon?) be able to try new features early if they know where to look https://t.co/KrhkBzvgTE https://t.co/Im3JyD5yPh,0,0,2017-08-05 16:33:35,United States,WordPress.com
judy folk,Enter the 2017 Telus Google Home Contest https://t.co/5PA3FdoZ5g,0,0,2017-08-05 16:33:29,,Twitter Web Client
Google Chromecast,"@Lucadergon Hey Lily, we came across your tweet. You can share your feedback through the Google Home app: https://t.co/KrQjYme5YT",0,0,2017-08-05 16:33:14,"Mountain View, CA",Conversocial
Alzheimer Bee,"Home, Lawn and Garden Sale running through Saturday at Sportsplex #Alzheimer https://t.co/YUxv4hPZ3R",0,0,2017-08-05 16:33:11,"Phoenix, AZ, USA",SocialOomph
Puja Das,"Get Healthy &amp; Long Hair at Home- Follow Natural tips...
https://t.co/9Yfer3y9Wg",0,1,2017-08-05 16:33:11,"New Delhi, India",Twitter for Android
Stacy Friday,RT @PKFLRDA: US willing to join UN climate talks despite its intent to exit from Paris agreement - https://t.co/E9uzorKZF2 via https://t.co…,2,0,2017-08-05 16:32:35,,Twitter for Android
Michah Hare,RT @AndroidAuth: Google’s Preview Program now gives Google Home owners first dibs on upcoming updates https://t.co/iiYuEnh85k https://t.co/…,5,0,2017-08-05 16:32:28,"Houston, TX",Twitter for Android
Franco Martinez,Google’s Preview Program now gives Google Home owners first dibs on upcoming updates https://t.co/PLuIRxKoKU Via An… https://t.co/T8BabcUVqq,0,0,2017-08-05 16:32:09,"Michigan, USA",dlvr.it
